product_code,name,slug,url,parent_category,category,price_min_diamond,price_min_titanium,price_max,processing_time_days_from,processing_time_days_to,fulfil_location_codes,suppliers,option_labels,variant_combinations,image_count
AOPQTB,All-Over Print Quilted Tote Bag,all-over-print-quilted-tote-bag-aopqtb,https://printway.io/product/all-over-print-quilted-tote-bag-aopqtb,Accessories,Bags,16.74,17.24,17.99,3,5,CN,Forudesigns,Size,4,8
CBP,Custom Backpack,custom-backpack-cbp,https://printway.io/product/custom-backpack-cbp,Accessories,Bags,24.5,26,26,5,7,CN,Relaxlines,Color,1,15
LCHB,Custom Lunch Bag,custom-lunch-bag-lchb,https://printway.io/product/custom-lunch-bag-lchb,Accessories,Bags,24.5,26,26,3,5,CN,Relaxlines,Color,1,8
ETCTB,Embroidered Two-Tone Canvas Tote Bag,embroidered-two-tone-canvas-tote-bag-etctb,https://printway.io/product/embroidered-two-tone-canvas-tote-bag-etctb,Accessories,Bags,8,8.5,10.5,1,3,VN,Đại Phát Embroidery,Color|Style,10,13
ELTBG,Engraved Leather Toiletry Bag,engraved-leather-toiletry-bag-eltbg,https://printway.io/product/engraved-leather-toiletry-bag-eltbg,Accessories,Bags,17.74,18.24,19.24,3,5,CN,Forudesigns,Color|Style,12,11
RRTB,Round Rattan Bag,round-rattan-bag-rrtb,https://printway.io/product/round-rattan-bag-rrtb,Accessories,Bags,15.99,16.99,16.99,1,3,VN,Printway,Material|Size,2,6
SMRTB,Small Round Rattan Bag,small-round-rattan-bag-smrtb,https://printway.io/product/small-round-rattan-bag-smrtb,Accessories,Bags,14.89,15.99,15.99,1,3,VN,Printway,Material|Size,2,5
TTB,Tote Bag,tote-bag-ttb,https://printway.io/product/tote-bag-ttb,Accessories,Bags,13.5,14.5,16.5,3,5,CN|VN,Dogeprint|Printway,Size,3,11
YEKBK,Yarn Embroidery Kids Backpack,yarn-embroidery-kids-backpack-yekbk,https://printway.io/product/yarn-embroidery-kids-backpack-yekbk,Accessories,Bags,18,18.5,21,3,5,CN,Forudesigns,Color|Title|Style,60,10
AOPHB,All-Over Print Hair Bow,all-over-print-hair-bow-aophb,https://printway.io/product/all-over-print-hair-bow-aophb,Accessories,Beauty Accessories,4.75,5.25,5.25,3,5,VN,Winfinity,Style,2,7
ADPST,Artistic Display Stand,artistic-display-stand-adpst,https://printway.io/product/artistic-display-stand-adpst,Accessories,Beauty Accessories,5.25,5.75,9.25,1,3,VN,Printway,Material|Style|Size,6,7
CTBR,Custom Brooch,custom-brooch-ctbr,https://printway.io/product/custom-brooch-ctbr,Accessories,Beauty Accessories,1.8,2,2.2,1,3,VN,Printway,Material|Size,4,12
CCPMR,Custom Compact Mirror,custom-compact-mirror-ccpmr,https://printway.io/product/custom-compact-mirror-ccpmr,Accessories,Beauty Accessories,4.24,4.74,4.99,1,3,VN,Printway,Style|Title,10,15
1LALP,Custom Shape 1-Layer Acrylic Lapel Pin,custom-shape-1-layer-acrylic-lapel-pin-1lalp,https://printway.io/product/custom-shape-1-layer-acrylic-lapel-pin-1lalp,Accessories,Beauty Accessories,,,2.3,1,3,VN,Printway,Size|Color,10,8
1LAN,Custom Shape 1-Layer Acrylic Necklace,custom-shape-1-layer-acrylic-necklace-1lan,https://printway.io/product/custom-shape-1-layer-acrylic-necklace-1lan,Accessories,Beauty Accessories,4,4.5,4.5,1,3,VN,Printway,Size|Color,4,11
